Name ,Organization 
Primary Planning Team ,
Keila Miller ,Souris and Area Branch of the PEI Wildlife Federation (SAB) 
Frances Braceland ,SAB 
Luke Robichaud ,SAB 
Fielding Montgomery ,Canadian Wildlife Federation (CWF) 
Nicolas Lapointe ,CWF 
Kris Hunter ,Atlantic Salmon Federation (ASF) 
Secondary Planning Team ,
Paul Strain ,PEI Department of Transportation and Infrastructure (DTI) 
Rosie MacFarlane ,"PEI Department of Environment, Energy and Climate Action (Forests, Fish and Wildlife Division) - PEI FFWD  "
Mary Finch ,"PEI FFWD, The PEI Watershed Alliance (PEIWA) "
Alan McLennan ,PEI FFWD  
Fred Cheverie ,SAB (retired) 
Jordan Condon ,Central Queens Branch of the PEI Wildlife Federation  
Mike van de Heuval ,"University of Prince Edward Island, and Canadian Rivers Institute  "
Jonathon Platts ,Ducks Unlimited Canada  
Nick Lapointe ,CWF 
Nick Mazany-Wright ,CWF 
David Cairns ,Department of Fisheries and Oceans Canada (DFO) 
Scott Roloson ,DFO 
